year,make,model,hpv,Efficiency_km/L
2016,Ford,Explorer AWD,0,8.077730433
2016,Ford,Explorer AWD,0,7.652586726
2016,Ford,Explorer AWD,0,8.928017847
2016,Jaguar,F-Type Coupe,0,8.077730433
2016,Jaguar,F-Type Convertible,0,8.077730433
2016,Jaguar,F-Type S Coupe,0,7.652586726
2016,Jaguar,F-Type S Convertible,0,7.652586726
2016,Porsche,Boxster S,0,10.203448968
2016,Porsche,Cayman S,0,9.353161554
2016,Porsche,Cayman S,0,10.203448968
2016,Porsche,Cayman GTS,0,9.353161554
2016,Porsche,Cayman GTS,0,10.628592675
2016,Cadillac,ATS-V,0,8.077730433
2016,Hyundai,Accent,90,12.75431121
2016,Hyundai,Accent,90,13.179454917
2016,Kia,Forte,0,12.75431121
2016,Maserati,Ghibli  S RWD,0,8.077730433
2016,Chevrolet,Impala Limited,0,9.353161554
2016,Hyundai,Azera Limited,0,9.353161554
2016,Hyundai,Azera,0,9.778305261
2016,Maserati,Quattroporte S,0,7.652586726
2016,Hyundai,Santa Fe Ultimate FWD,0,8.50287414
2016,Hyundai,Santa Fe FWD,0,8.928017847
2016,Kia,Sportage FWD,0,9.778305261
2016,Kia,Sportage SX FWD,0,9.353161554
2016,Mitsubishi,Outlander 2WD,0,11.478880088999999
2016,Chevrolet,Equinox AWD,0,9.778305261
2016,Chevrolet,Equinox AWD,0,9.778305261
2016,GMC,Terrain AWD,0,9.778305261
2016,Hyundai,Santa Fe Ultimate AWD,0,8.077730433
2016,Hyundai,Santa Fe AWD,0,8.50287414
2016,Kia,Sportage AWD,0,9.353161554
2016,Kia,Sportage SX AWD,0,8.928017847
2016,Mitsubishi,Outlander 4WD,0,11.053736382
2016,Mitsubishi,Outlander 4WD,0,9.353161554
2016,Scion,iA,0,14.454886038
2016,Scion,iA,0,15.305173452
2016,Audi,RS 7,94,7.652586726
2016,Audi,A8 L,0,9.353161554
2016,Kia,K900,0,7.652586726
2016,Porsche,Panamera Turbo Executive,0,7.652586726
2016,Porsche,Panamera Turbo S,0,7.652586726
2016,Buick,Enclave FWD,0,7.652586726
2016,Chevrolet,Traverse FWD,0,7.652586726
2016,GMC,Acadia FWD,0,7.652586726
2016,Buick,Enclave AWD,0,7.227443019
2016,Chevrolet,Traverse AWD,0,7.227443019
2016,GMC,Acadia AWD,0,7.227443019
2016,Porsche,Boxster,0,10.203448968
2016,Porsche,Boxster,0,10.628592675
2016,Porsche,Cayman,0,10.203448968
2016,Porsche,Cayman,0,10.628592675
2016,Porsche,Boxster GTS,0,9.353161554
2016,Porsche,Boxster GTS,0,10.628592675
2016,Cadillac,ATS-V,0,8.077730433
2016,Bentley,Flying Spur,0,5.952011897999999
2016,Chevrolet,Cruze Limited,0,12.329167502999999
2016,Dodge,Dart,97,12.75431121
2016,Dodge,Dart Aero,97,13.604598624
2016,Dodge,Dart Aero,97,13.604598624
2016,Porsche,Panamera GTS,0,8.077730433
2016,Porsche,Panamera Turbo,0,7.652586726
2016,Porsche,Panamera Turbo S Executive,0,7.652586726
2016,Hyundai,Tucson FWD,0,11.478880088999999
2016,Hyundai,Tucson Eco FWD,0,11.904023795999999
2016,Jeep,Cherokee FWD,0,10.628592675
2016,Jeep,Cherokee FWD,0,10.628592675
2016,Hyundai,Tucson AWD,0,10.628592675
2016,Hyundai,Tucson Eco AWD,0,11.478880088999999
2016,Jeep,Cherokee 4WD,0,9.778305261
2016,Cadillac,SRX AWD,0,7.652586726
2016,Land Rover,LR4,0,6.802299312
2016,Audi,TT Roadster quattro,0,11.053736382
2016,Audi,A5 quattro,0,10.203448968
2016,Audi,A5 Cabriolet quattro,0,10.203448968
2016,Audi,A3,0,11.478880088999999
2016,Audi,A3 Cabriolet,0,11.904023795999999
2016,Audi,A3 quattro,0,11.478880088999999
2016,Audi,A3 Cabriolet quattro,0,11.053736382
2016,Audi,S5,0,8.928017847
2016,Audi,S5 Cabriolet,0,8.928017847
2016,Audi,S5,0,8.50287414
2016,Audi,A5 quattro,0,11.053736382
2016,Audi,TTS Coupe,0,10.628592675
2016,Audi,S3,0,11.053736382
2016,Audi,TT Coupe quattro,0,11.053736382
2016,Audi,A4 quattro,0,10.203448968
2016,Audi,S4,0,8.928017847
2016,Audi,S4,0,8.50287414
2016,Audi,A4 quattro,0,11.053736382
2016,Audi,A4,0,11.478880088999999
2016,Audi,Q3,84,9.778305261
2016,Audi,Q3 quattro,84,9.778305261
2016,Volkswagen,Golf R,93,10.628592675
2016,Volkswagen,Golf R,93,10.628592675
2016,Dodge,Dart,97,12.329167502999999
2016,Dodge,Dart GT,97,11.053736382
2016,Subaru,Legacy AWD,0,12.329167502999999
2016,Subaru,Legacy AWD,0,9.778305261
2016,Audi,A8 L,0,9.353161554
2016,Audi,A8 L,0,11.904023795999999
2016,Kia,K900,0,8.50287414
2016,Audi,allroad quattro,0,10.203448968
2016,Chrysler,Town and Country,0,8.50287414
2016,Dodge,Grand Caravan,0,8.50287414
2016,Honda,Pilot 2WD,0,9.778305261
